event,time.clock,time.sec
50 L Free,23.73,23.73
100 L Free,52.07,52.07
200 L Free,1:52.98,112.98
400 L Free,3:58.86,238.86
800 L Free,8:11.00,491
1500 L Free,15:34.23,934.23
50 L Back,27.06,27.06
100 L Back,58.12,58.12
200 L Back,2:04.06,124.06
50 L Breast,29.48,29.48
100 L Breast,1:04.35,64.35
200 L Breast,2:19.11,139.11
50 L Fly,25.07,25.07
100 L Fly,55.98,55.98
200 L Fly,2:01.81,121.81
200 L IM,2:06.15,126.15
400 L IM,4:28.43,268.43
50 Y Free,21.12,21.12
100 Y Free,46.09,46.09
200 Y Free,1.39.10,99.1
500 Y Free,4.25.15,285.15
1000 Y Free,8.59.65,529.65
1500 Y Free,15.03.92,903.92
50 Y Back,27.06,27.06
100 Y Back,49.69,49.69
200 Y Back,1.47.84,107.84
50 Y Breast,29.48,29.48
100 Y Breast,56.3,56.3
200 Y Breast,2.03.59,123.59
50 Y Fly,25.07,25.07
100 Y Fly,49.43,49.43
200 Y Fly,1.49.92,109.92
200 Y IM,1.51.65,111.65
400 Y IM,3.56.54,236.54
